"CHANNEL","TV_SHOW_1","TV_SHOW_2","TV_SHOW_3","TV_SHOW_4","TV_SHOW_5","TV_SHOW_6","TV_SHOW_7","TV_SHOW_8","TV_SHOW_9","TV_SHOW_10","TV_SHOW_11","TV_SHOW_12","TV_SHOW_13","TV_SHOW_14","TV_SHOW_15","TV_SHOW_16","TV_SHOW_17","TV_SHOW_18","TV_SHOW_19","TV_SHOW_20","TV_SHOW_21","TV_SHOW_22","TV_SHOW_23","TV_SHOW_24","TV_SHOW_25","TV_SHOW_26","TV_SHOW_27","TV_SHOW_28","TV_SHOW_29","TV_SHOW_30","TV_SHOW_31","TV_SHOW_32","TV_SHOW_33","TV_SHOW_34","TV_SHOW_35"
"TVGN","Ugly Betty","NuWave PIC","Hair Club","Bare Minerals","Humane Society","Total Gym for $14.95 Offer Sexiest New Makeup Tricks!","Laser Hair Removal at Home","Fluidity Fitness","Super Wave Oven","Jillian Michaels Body Revolution","Ab Rocket Twister","Zumba Fitness - Join the Party!","#1 Selling Kitchen System! NutriSystem","The Cast of The Cosby Show: Where Are They Now","The Cast of Fresh Prince of Bel-Air: Where Are They Now","Lucy","Wildcats","When Harry Met Sally...","Overboard","Wildcats","","","","","","","","","","","","","","",""
"ABC","Local Programming","Good Morning America new","Special Edition of","Good Morning America new","ABC News: Inauguration 2013","Local Programming","ABC World News With Diane Sawyer new","Local Programming","The Bachelor new","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBS","Local Programming","CBS Morning News new","Local Programming","CBS This Morning","CBS News Inaugural Coverage","Local Programming","CBS Evening News With Scott Pelley new","Local Programming","How I Met Your Mother new The Big Bang Theory","2 Broke Girls new","Mike & Molly new","","","","","","","","","","","","","","","","","","","","","","","",""
"FOX","Local Programming","Bones new","The Following new","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBC","Loc Dateline NBC","Meet the Press","Mee Local Programming","Local Programming","Early Today new","Local Programming","Today new","NBC News Special: Presidential Inauguration","Local Programming","NBC Nightly News With Brian Williams new","Local Programming","The Biggest Loser new","","","","","","","","","","","","","","","","","","","","","","",""
"PBS","Escenario","En Pantalla","Estudio Billboard","Comisario Rex","Punta escarlata","Cuntame cmo Pas","Clifford the Big Red Dog","Wild Kratts","Wild Kratts new","Curious George","The Cat in the Hat Knows a Lot About That! new","Super WHY!","Dinosaur Train","Sesame Street","Daniel Tiger's Neighborhood","Sid the Science Kid","WordWorld","Barney & Friends","Caillou","Daniel Tiger's Neighborhood","Super WHY!","Dinosaur Train","The Cat in the Hat Knows a Lot About That! new","Curious George","Wild Kratts","The Electric Company","Martha Speaks","Curious George","PBS NewsHour new","Antiques Roadshow new","Market Warriors new","","","",""
"CW","Local Programming","The Bill Cunningham Show new","Local Programming","The Carrie Diaries new","90210 new","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNT","Local Programming","Law & Order: Special Victims Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ION","Law & Order: Criminal Intent","NUMB3RS","Paid Programming","World's Greatest","Paid Programming","Through the Bible with Les Feldick","International Fellowship of Christians and Jews","Paid Programming","Married...With Children","Pale Rider","Without a Trace","Criminal Minds","","","","","","","","","","","","","","","","","","","","","","",""
"TELMUN","Beauty and The Beast","Programacin pagada","Programaci n pagada","Programacin pagada","Verano Ardiente","Programacin pagada","Anita No Te Rajes","Un nuevo da","Inauguraci n Presidencial","Inauguracin Presidencial","Inauguraci n Presidencial","Inauguracin Presidencial","Lo Mejor de 'Caso Cerrado'","Caso Cerrado","Al Rojo Vivo con Mara Celeste","Decisiones","Noticiero Telemundo new Caso Cerrado: Edicin Estelar","Rosa Diamante new","La patrona new","","","","","","","","","","","","","","","",""
"UNI","2012: Lo ms impactante","Como dice el dicho","Vecinos","Para Volver a Amar","Humor Es...Los Comediantes","Noticiero Univisin: Fin de semana new","Tu desayuno alegre","Despierta Amrica","Despierta Amrica new","Noticias Univisi n Presenta new","Noticias Univisin Presenta new","Amorcito corazn","El gordo y la flaca","Primer impacto","Casa de la Risa","Noticiero Univisin new","Corona de Lgrimas","Por ella soy Eva","Amores verdaderos","","","","","","","","","","","","","","","",""
"A&E","SStorage Wars","Storage Wars","SStorage Wars","Storage Wars","S Paid Programming","Paid Programming","Dog the Bounty Hunter","Criminal Minds","CSI: Miami","Criminal Minds","The First 48","Hoarders","Hoarders new","","","","","","","","","","","","","","","","","","","","","",""
"ABCFAM","Joel Osteen","Kerry Shook","Paid Programming","Joseph Prince","Life Today With James Robison","Joyce Meyer Ministries: Enjoying Everyday Life","Love a Child","Boy Meets World","700 Club Interactive","The 700 Club","Gilmore Girls","Full House","Reba","That '70s Show","Bunheads","Switched at Birth","Switched at Birth new","Bunheads new","","","","","","","","","","","","","","","","",""
"AMC","The Perfect Storm","CSI: Miami","Paid Programming","Debby Boone Story","The Thr The Three Stooges","Behind Enemy Lines","The Alamo","Training Day","Mad Max","Braveheart","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANIMAL","Finding Bigfoot","Wild West Alaska","Gator Boys","Finding Bigfoot","Orangutan Island","Escape to Chimp Eden","Big Cat Diary","The Crocodile Hunter","Gator Boys: Xtra Bites","Gator Boys","Gator Boys: Xtra Bites","Gator Boys","Gator Boys: Xtra Bites","Gator Boys","Gator Boys: Xtra Bites","Gator Boys","Finding Bigfoot: Further Evidence new","Finding Bigfoot","","","","","","","","","","","","","","","","",""
"BBC","Jack the Ripper: Prime Suspect","Top Gear","BBC World News new","Cheetahs: Fast Track to Freedom","The Graham Norton Show","Doctor Who","Richard Hammond's Crash Course","Top Gear","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BET","BET Inspiration","Moesha new","Roots","From King to President: America Celebrates","From King to President: America","Celebrates new","Roots","From King to President: America","Celebrates new","From King to President: America","Roots","","","","","","","","","","","","","","","","","","","","","","","",""
"BIO","Night Stalker: Richard Ramirez","Green River Killer","Joel Rifkin","The Real Happy Face Killer","Biography","Paid Programming","Biography","The Tragic Side of Fame #1","Tragic Side of Fame #2","Biography","Hollywood's Most Notorious Crimes","Notorious","The First 48","","","","","","","","","","","","","","","","","","","","","",""
"BRAVO","The Real Housewives of Atlanta","Shahs of Sunset","The Real Housewives of Atlanta","Watch What Happens: Live","The Real Housewives of Atlanta","Paid Programming","Bethenny Ever After","Vanderpump Rules","The Real Housewives of Atlanta","The Real Housewives of Beverly Hills new","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARTOON","Robot Chicken new","Superjail!","Metalocalyps e","Frisky Dingo","China, IL","Titan Maximum","The Cleveland Show","Family Guy","Robot Chicken","Superjail!","Metalocalyps e","Frisky Dingo","China, IL","Titan Maximum","The Oblongs","King of the Hill","Looney Tunes","Almost Naked Animals","Ben 10: Omniverse","Beyblade: Metal Masters","Pokemon: BW Rival Destinies","Scooby-Doo!: Camp Scare","Big Top Scooby-Doo!","The Amazing World of Gumball","Johnny Test","Regular Show","Adventure Time","With Finn & Jake","Adventure Time","With Finn & Jake","Adventure Time new","Regular Show new","MAD new","The Annoying","King of the Hill"
"CINEMAX","Working Girls in Bed:","Sin City Diaries","Sunset Strip","Sun Chariots of Fire","Chariots of Fire","Garfield","Major League: Back to the Minors","The Matrix","Love and Other Drugs","Johnson Family Vacation","Seven","Napoleon Dynamite","Wanderlust","A Thousand Words","","","","","","","","","","","","","","","","","","","","",""
"CMT","Chainsaw Gang","Paid Programming","CMT Music","Hot 20 Countdown","Kitchen Nightmares","Roseanne","Reba","Them Idiots Whirled Tour","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNBC","How Much Is Your Dead Body Worth?","American Greed: Scams, Scoundrels and Scandals","Paid Programming","American Greed: Scams, Scoundrels and Scandals","Worldwide Exchange new","Steve Jobs: Billion Dollar Hippie","Mark Zuckerberg: Inside Facebook","Hotel: Behind Closed Doors at the Marriott","60 Minutes on CNBC","NBC News Special: Presidential Inauguration","Hotel: Behind Closed Doors at the Marriott","60 Minutes on CNBC","The Costco Craze: Inside the Warehouse Giant","Crime Inc.","Faking the Grade: Classroom Cheaters","American Greed: Madoff Behind Bars","","","","","","","","","","","","","","","","","","",""
"CNN","Piers Morgan Tonight","Anderson Cooper 360","The Presidential Inauguration","Special Coverage","Piers Morgan Tonight","Anderson Cooper 360","Early Start","Starting Point","The Presidential Inauguration","Situation Room With Wolf Blitzer","The Presidential Inauguration","","","","","","","","","","","","","","","","","","","","","","","",""
"COMEDY","The Burn With Jeff Ross","Tosh.0","The Goods: Live Hard, Sell Hard","Workaholics","Kroll Show","It's Always Sunny in Philadelphia","Paid Programming","Entourage","Jesse Popp: The Half Hour","The Daily Show With Jon Stewart","Colbert Report","Scrubs","Juwanna Mann","First Sunday","Comedy Central Presents","It's Always Sunny in Philadelphia","Futurama","It's Alw","It's Always Sunny in Philadelphia","Tosh.0","Colbert Report","The Daily Show With Jon Stewart","F ut","Futurama","South Park","B","","","","","","","","",""
"DSC","Amish Mafia: The Book of Merlin","Amish Mafia","Paid Programming","Business Update","Paid Programming","Moonshiners","Amish Mafia: The Book of Levi","Amish Mafia: The Book of Merlin","Amish Mafia","Extreme Smuggling new","Shipwreck Men new","","","","","","","","","","","","","","","","","","","","","","","",""
"DISNEY","Wizards of Waverly Place Wizards of Waverly Place","The Suite Life on Deck","Good Luck Charlie","Go Figure","Go","The Suite Life on Deck","Fish Hooks","Phineas and Ferb","Little Einsteins","Octonauts","Mickey Mouse Clubhouse Sofia the First","Doc McStuffins","Jake and the Never Land Pirates","Phineas and Ferb","Phineas and Ferb new","Gravity Falls","A.N.T. Farm","Jessie","Dog With a Blog","Shake It Up","A.N.T. Farm","Jessie","hav e a","Dog With a Blog","hav e a","Good Luck Charlie","Shake It Up","Austin & Ally","Mus ic","Dog With a Blog","Jessie","Good Luck Charlie","Dog With a Blog","Gravity Falls",""
"DISXD","Tron: Uprising new","Ultimate Spider-Man","Phineas and Ferb","Kick Buttowski Suburban Daredevil","Fish Hooks","Kid vs. Kat","Kick Buttowski Suburban Daredevil","Ultimate Spider-Man","Kick Buttowski Suburban Daredevil","Wizards of Waverly Place SlugTerra","Kickin' It","Lab Rats","Kickin' It","Crash & Bernstein","Kickin' It","Pair of Kings","Zeke and Luther","Randy Cunningham: 9th Grade Ninja","Phineas and Ferb","Kickin' It","Crash & Bernstein","Lab Rats","Ultimate Spider-Man new Ultimate Spider-Man new","Kickin' It","Crash & Bernstein new","Lab Rats","M y","","","","","","","",""
"DIY","Raising House","Million Dollar Contractor Million Dollar Contractor","Ice My House","Kitchen Cousins","Paid Programming","10 Grand in Your Hand","Paid Programming","Creative Juice","From Junky to Funky","Against the Grain","House Crashers","Run My Renovation","Sweat Equity","Raising House","Rescue Renovation","I Want That","I Want That!","Disaster DIY","Bath Crashers","Blog Cabin","Bath Crashers","House Crashers","Disaster DIY","Holmes on Homes","Kitchen Crashers","","","","","","","","","",""
"E!","Kourtney and Kim Take Miami","Chasing the Saturdays","Kourtney and Kim Take Miami","Chasing the Saturdays","Chelsea Lately","Love You, Mean It With Whitney Cummings","The Soup","Paid Programming","The Soup","Kourtney and Kim Take Miami","Kourtney and Khloe Take Miami","Kourtney and Kim Take Miami","Chasing the Saturdays","Kourtney and Khloe Take Miami","Chasing the Saturdays","Kourtney and Khloe Take Miami","Chasing the Saturdays","Kourtney and Kim Take Miami","Kourtney and Kim Take Miami new","","","","","","","","","","","","","","","",""
"ENC","The Shadow","30 Minutes or Less","Arthur","Jumping the Broom","Jingle All the Way","Jing The Smurfs","Batman Forever","Titanic: Blood & Steel","Titanic: Blood &","Titanic: Blood & Steel","Scent of a Woman","The Ides of March","The American President","","","","","","","","","","","","","","","","","","","","","",""
"ESPN","SportsCenter new","NFL Primetime","SportsCenter","Highlight Express","SportsCenter","SportsCenter new","NBA Basketball:Pacers at Grizzlies","College Basketball:Cincinnati at","College Basketball:Cincinnati at Syracuse","College Basketball:Oklahoma State","at Baylor","College Basketball:Georgetown at","Notre Dame","College Basketball:Texas at Oklahoma","","","","","","","","","","","","","","","","","","","","",""
"ESPNCLS","Ali Rap","Ali's Dozen","Ali's 65","30 for 30","SportsCentury","Paid Programming","Classic Wiley","Wendell Scott: A Race Story","The Color Orange: The Condredge Holloway Story","Black Magic","Content of Character","Secret Game","30 for 30","Third and a Mile: The History of the Black Quarterback SEC Storied: Croom","30 for 30","Content of Character","","","","","","","","","","","","","","","","","","",""
"ESPN2","Australian Open:Early-round play","Tennis Highlights:Chris Evert Pro-Celebrity Classic","SportsCenter Top Ten","Australian Open:Early-round play","Mike and Mike in the Morning new","ESPN First Take new","ESPN First Take","SportsCenter new","NFL Primetime","NFL Live new","Around the Horn","Pardon the Interruption","SportsCenter new","Women's Basketball:Duke at Connecticut","Australian Open:Men's and women's quarterfinals","","","","","","","","","","","","","","","","","","","",""
"ESPNU","High-School Basketball:New Hampton College Basketball:Clemson at","North Carolina State","College Basketball:Clemson at","High-School Basketball:St. Benedict's vs. Montrose Christian","College Basketball:Clemson at","North Carolina State","Crunch Time new","Crunch Time","The Herd With Colin Cowherd","High-School Basketball:Archbishop Mitty vs. Lone Peak","ESPN Recruiting Nation","High-School Basketball:Oak Hill Academy vs. Simeon","ESPN Recruiting Nation","High-School Basketball:Findlay Prep vs. Montverde","ESPN Recruiting Nation","High-School Basketball:Dematha vs. Hudson Catholic","College Basketball:Bethune-Cookm","College Basketball:Bethune-Cookman at Savannah State","College Basketball:Southern at","","","","","","","","","","","","","","","",""
"DFH","Extreme Cheapskates","Paid Programming","Bodies in Motion","Total Body Sculpt With Gilad","Hoarding: Buried Alive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLIXe","Alive","Muriel's Wedding","Monty Python's The Meaning of Life","Cinema Paradiso","Home Front","The Glass Shield","Barbershop","Marci X","A Low Down Dirty Shame","A Low Down Dirty Our Song","Cry, the Beloved Country","Barbershop","Car Wash","","","","","","","","","","","","","","","","","","","","","",""
"FOOD","Rachael vs. Guy: Celebrity Cook-Off","Bobby's Dinner Battle","Iron Chef America","Chopped","Paid Programming","Bobby Flay's Barbecue Addiction","Tyler's Ultimate","Alex's Day Off","Good Eats","Unwrapped","Paula's Best Dishes","Barefoot Contessa","Sandra's Restaurant Remakes","Ten Dollar Dinners","Secrets of a Restaurant Chef","30-Minute Meals","Giada at Home","Barefoot Contessa","Paula's Best Dishes","The Pioneer Woman","Diners, Drive-Ins and Dives Diners, Drive-Ins and Dives Diners, Drive-Ins and Dives Diners, Drive-Ins and Dives","","","","","","","","","","","","","",""
"FMC","Zodiac","FXM Presents","The Entity","Evil Within","Hell and High Water","Panic in the Streets","Fathom","Sky Riders","Instinct","FXM Presents","The Marine","FXM Presents","The Incredible Hulk","FXM Presents","","","","","","","","","","","","","","","","","","","","",""
