"CHANNEL","TV_SHOW_1","TV_SHOW_2","TV_SHOW_3","TV_SHOW_4","TV_SHOW_5","TV_SHOW_6","TV_SHOW_7","TV_SHOW_8","TV_SHOW_9","TV_SHOW_10","TV_SHOW_11","TV_SHOW_12","TV_SHOW_13","TV_SHOW_14","TV_SHOW_15","TV_SHOW_16","TV_SHOW_17","TV_SHOW_18","TV_SHOW_19","TV_SHOW_20","TV_SHOW_21","TV_SHOW_22","TV_SHOW_23","TV_SHOW_24","TV_SHOW_25","TV_SHOW_26","TV_SHOW_27","TV_SHOW_28","TV_SHOW_29","TV_SHOW_30","TV_SHOW_31","TV_SHOW_32","TV_SHOW_33","TV_SHOW_34","TV_SHOW_35"
"FNC","Special Report With Bret Baier","Fox Report Sunday","Huckabee","Special Report With Bret Baier","Fox Report Sunday","Fox and Friends First new","Fox and Friends new","America's Newsroom With Bill Hemmer and Martha MacCallum new","America's Election HQ: Inauguration 2013 With Bret Baier and Megyn Kelly new","Studio B With Shepard Smith new","Your World With Neil Cavuto new","The Five new","Special Report With Bret Baier new","Fox Report With Shepard Smith new","The O'Reilly Factor new","Hannity new","","","","","","","","","","","","","","","","","","",""
"FUSE","Ray","Warped Roadies","Funny or Die's Billy on the Street","Top 20 Countdown","Chris Brown Takeover","Top 100 Hottest Hooks","House Party 4: Down to the Last Minute","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FX","The A-Team","Paid Programming","Hellboy","Fantastic Four","Fantastic Four: Rise of the Silver Surfer","The Animal","Deuce Bigalow: Male Gigolo","How I Met Your Mother","Two and a Half Men","Easy A","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4","Top 100 Video Games of All Time","Web Soup","Paid Programming","Web Soup","X-Play","Knight Rider","Attack of the Show","X-Play","Web Soup","Cops","X-Play","Attack of the Show","Lost","","","","","","","","","","","","","","","","","","","","","",""
"GOLF","PGA Tour Golf:Humana Challenge","Golf Central","Golf:Abu Dhabi HSBC Championship","Champions Tour Golf:Mitsubishi Electric Championship","Golf Central","Morning Drive","School of Golf","Golf Channel Academy","1962 U.S. Open: Jack's First Major","British Open Highlights","Masters Highlights:1986: Jack Nicklaus","Legendary Conversation: Nicklaus, Palmer, Player, Trevino","Golf Central","The Golf Fix new","Top 10","Top 10 new","The Haney Project: Charles Barkley","","","","","","","","","","","","","","","","","",""
"GSN","Family Feud","$100,000 Pyramid","Dog Eat Dog","Paid Programming","Hollywood Faces","Paid Programming","Family Feud","Match Game","Card Sharks","Press Your Luck","$100,000 Pyramid","$25,000 Pyramid","Super Password","Jeopardy! new","$100,000 Pyramid","$25,000 Pyramid","Are You Smarter Than a 5th Grader?","Catch 21","Lingo","Chain Reaction","Family Feud","Minute to Win It","Family Feud","","","","","","","","","","","",""
"HALMRK","Frasier","The Golden Girls","Frasier","I Love Lucy","The Golden Girls","Home & Family new","Marie new","Mad Hungry With Lucinda Scala Quinn","Happy Days","The Brady Bunch","Happy Days","","","","","","","","","","","","","","","","","","","","","","","",""
"HBOe","American Reunion","Rea l","Real Time With Bill Maher","200 Cigarettes","Bad Girls from Valley High","Bad Secret Window","Elvis & Anabelle","First Daughter","Red Tails","Happy Feet Two","Harry Potter and the Sorcerer's Stone","Hanna","Real Time With Bill Maher","Red Tails","","","","","","","","","","","","","","","","","","","","",""
"HBOSGe","Pariah","Answers to Nothing","The Maker","Section 60: Arlington National Cemetery","Hearts in Atlantis","Jane Eyre","We Bought","a Zoo","The New World","Say Grace Before Drowning","Somewhere","Win Win","The Kids Are All Right","The Sopranos","We Bought","a Zoo","","","","","","","","","","","","","","","","","","",""
"HBO2e","Boogie My Cousin Vinny","My Cousin Vinny Broken Lizard's Club Dread","Beyond","Flight of the Conchords","Flig TMNT","Waking Ned Devine","Tinker, Tailor, Soldier, Spy","The Statement","Trust the Man","Welcome to Mooseport","Making of 'Tinker,","Intolerable Cruelty","Johnny English Reborn","Girls","Enlightened","","","","","","","","","","","","","","","","","","","",""
"HIST","AAx Men","Ax Men","ABamazon","American Restoration","A Paid Programming","Paid Programming","Classroom","The Real West","King","Pawn Stars","American Pickers new","","","","","","","","","","","","","","","","","","","","","","","",""
"HGTV","Hawaii Life","House Hunters Renovation","House Hunters","House Hunters International","Amazing Water Homes","Paid Programming","Destination Design","Dina's Party","Candice Tells All","HGTV Dream Home 2013","House Hunters","House Hunters International","My First Place","Love It or List It","Love It or List It new","","","","","","","","","","","","","","","","","","","",""
"ID","Fatal Encounters","On the Case With Paula Zahn","Fatal Encounters","Behind Mansion Walls","Nightmare Next Door","Disappeared new","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFC","Ali G Indahouse","Suicide Kings","Portlandia","Choose Me","A Good Woman","Portlandia","Felicia's Journey","Choose Me","A Good Woman","Malcolm in the Middle","Bachelor Party","","","","","","","","","","","","","","","","","","","","","","","",""
"LIFE","She Made Them Do It","Prosecuting Casey Anthony","Paid Programming","The Balancing Act new","Wife Swap","Playdate","Drew Peterson: Untouchable","Prosecuting Casey Anthony","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMN","Love, Lies and Murder","Paid Programming","False Pretenses","They Shoot Divas, Don't They?","A Lover's Revenge","Engaged to Kill","Love, Lies and Murder","Confessions of a Go-Go Girl","Pick-A-Flick","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LRW","Vanished With Beth Holloway","Blood Ties","P ai","Paid Programming","Merge","Head 2 Toe","The Things We Do for Love Who Knows You Best?","Operation Style","Merge","Next Door With Katie Brown","Cook Yourself Thin","Mom's Cooking","The Main Ingredient With Bobby Flay","Glamour Belles","Project Runway","On the Road With Austin & Santino","Love for Sail","Cook Yourself Thin","Mom's Cooking","Airline","Project Runway","","","","","","","","","","","","","",""
"MOMAXe","The Dreamers","X-Men: First Class","Sweet Prudence and the Erotic Adventure of Bigfoot","The Claim","Love in the Time of Cholera","Sugar Hill","Two Girls and a Guy","Red Riding Hood","Last Man Standing","Sherlock Holmes: A Game of Shadows","Love Actually","The Revenant","","","","","","","","","","","","","","","","","","","","","","",""
"msnbc","Lockup: San Antonio - Extended Stay","Meet the Press","Caught on Camera","Meet the Press","First Look new","Way Too Early","Morning Joe","Inauguration Coverage: The Second Inauguration of Barack Obama","Martin Bashir new","Hardball With Chris Matthews new","PoliticsNation new","Hardball With Chris Matthews","The Ed Show new","The Rachel Maddow Show new","","","","","","","","","","","","","","","","","","","","",""
"MTV","Mean Girls","Awkward.","Buckwild","Catfish: The TV Show","Mean Girls","Buckwild","Catfish: The TV Show","Teen Mom 2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGC","Mudcats","Wicked Tuna: Hooked Up","Supercarrier: USS Ronald Reagan","Abandoned","Paid Programming","Hard Time","Alaska State Troopers","Border Wars","Taboo","Drugs Inc.","Alaska State Troopers","Drugs Inc.","Hard Rider new","Alaska State Troopers new","","","","","","","","","","","","","","","","","","","","",""
"NIK","Frien Friends","Friends","See Dad Run","George Lopez","My Wife and Kids","M y","My Wife and Kids","Yes, Dear","Full House","Bubble Guppies","Team Umizoomi","SpongeBob SquarePants SpongeBob SquarePants","The Fairly OddParents","Drake & Josh Go Hollywood","Marvin Marvin","SpongeBob SquarePants SpongeBob SquarePants","The Last Airbender","","","","","","","","","","","","","","","","","",""
"OWN","Oprah's Next Chapter","Dr. Phil","The Nate Berkus Show new","Rachael Ray new","The Oprah Winfrey Show","Oprah and the Legendary Cast of 'Roots' 35 Years Later","Main Street Mysteries","Dateline on OWN new","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OXYGN","Law & Order: Criminal Intent","Paid Programming","Perfect Combination","Snapped","Law & Order: Criminal Intent","Snapped","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QVC","Denim & Co.","Smithsonian Institution---National Gem Gallery","Denim & Co.","Destination Silver","Fashionably Early With Jayne & Pat","Kenneth Jay Lane Jewelry","Denim & Co.","Q Check","bareMinerals","Bags & Shoes","Denim & Co.","Quacker Factory by Jeanne Bice","Destination Silver","PM Style","","","","","","","","","","","","","","","","","","","","",""
"REELZ","Random Hearts","Teen Wolf","Paid Programming","Hollywood Dailies","The Countdown","Wings","Becker","Hollywood Dailies","Revealed","Doc Hollywood","Teen Wolf","Entrapment","The Banger Sisters","Random Hearts","","","","","","","","","","","","","","","","","","","","",""
"SCI","How Do They Do It?","An Idiot Abroad: The Bucket List","An Idiot Abroad","Stuff You Should Know","Build It Bigger","If We Had No Moon","Tank on the Moon","How It's Made","How the Universe Works","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHOe","House of Lies","Californication","Our Idiot Brother","Lara Croft Tomb Raider: The Cradle of Life","The Red Baron","Mallrats","The Others","Legendary","The Three Musketeers","War Horse","War Horse: The Journey Home","The School of Rock","60 Minutes Sports","Homeland","Californication","House of Lies","","","","","","","","","","","","","","","","","","",""
"SHO2e","The Pianist","HIGH School","The Mechanic","Beaches","Life with Mikey","Barnyard","Rugrats Go Wild","The Twilight Saga: Breaking Dawn - Part 1","The Twilight Saga: Breaking Dawn - Part Spy Kids: All the Time in the World","Pea ce,","Peace, Love & Misunderstanding","Meet Joe Black","Our Idiot Brother","The Twilight Saga: Breaking Dawn - Part 1","","","","","","","","","","","","","","","","","","","","",""
"SOAP","General Hospital","One Life to Live","General Hospital","Beverly Hills, 90210","One Tree Hill","Beverly Hills, 90210","Veronica Mars","General Hospital","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPEED","Auto Racing:German Touring Car series","Auto Racing:FIA GT Championship action","Unique Whips","Pinks","Pass Time","Off-Road Racing:Lucas Oil Racing Series","Paid Programming","NASCAR Race Hub","Pinks","Unique Whips","Pimp My Ride","Pass Time","Paid Programming","NASCAR Racing:Sprint Cup in Fort Worth","Truck Competition:USHRA Monster Jam","On the Edge","Car Crazy","Chop Cut Rebuild","Stacey David's Gearz","NASCAR Race Hub new","Pinks","Pass Time","Stacey David's Gearz","Hot Rod TV","","","","","","","","","","",""
"SPIKE","Underworld","1000 Ways to Die","Entourage","Paid Programming","1000 Ways to Die","Deadliest Warrior","The Wolfman","Skyline","Underworld","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STARZ","The Vow","Ali","The Raid: Redemption new","John Carter","Pirates of the Caribbean: On Stranger Tides","All the Pretty Horses","Ali","John Carter","A Dangerous Method","Starz Studios","Pirates of the Caribbean: On Stranger Tides","The Bourne Supremacy","","","","","","","","","","","","","","","","","","","","","","",""
"style.","Sex and the City","Big Rich Atlanta","Paid Programming","Tia & Tamera","Je rs","Tia & Tamera","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SUNDe","Me Thumbsucker","Me and Orson Welles","Dangerous Parking","Freaks and Geeks","Summer Hours","Wassup Rockers","French Roast","Summer Hours","Monsoon Wedding","Freaks and Geeks","Lady & the Reaper","Wassup Rockers","Ghost World","Joshua","","","","","","","","","","","","","","","","","","","","",""
"Syfy","Lost Girl","Star Trek II: The Wrath of Khan","Ghost Mine","Total Blackout","The Twilight Zone","Paid Programming","Hollywood Faces","Paid Programming","Continuum","Star Trek III: The Search for Spock","Star Trek V: The Final Frontier","Star Trek VI: The Undiscovered Country","Star Trek Generations","Continuum","Continuum new","Being Human new","","","","","","","","","","","","","","","","","","",""
"TBS","Wedding Band","Sullivan & Son","Hitch","Head of State","Married...With Children","My Name Is Earl","The Fresh Prince of Bel-Air","Tyler Perry's House of Payne","Tyler Perry's Meet the Browns","The Fresh Prince of Bel-Air","American Dad!","According to Jim","Everybody Loves Raymond","Rules of Engagement","Everybody Loves Raymond","Friends","The King of Queens","Seinfeld","Family Guy","","","","","","","","","","","","","","","",""
"TCM","A Song Is Born","Wonder Man","Annie Was a Wonder","The Man From the Diner's Club","Cruise of the Zaca","No Way Out","The Blackboard Jungle","Something of Value","Edge of the City","A Raisin in the Sun","A Patch of Blue","To Sir, with Love","Elvis Mitchell: Under the Influence","Divorce American Style","","","","","","","","","","","","","","","","","","","","",""
"TLC","Here Comes","Honey Boo Boo: Family Sized","Here Comes","Honey Boo Boo: Family Sized","Paid Programming","Undercover Boss","Cake Boss","Cake Boss: Next Great Baker","Cake Boss: Next Great Baker new","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMCe","They're Out of the Business","2:22","Shuttle","A Better Life","Red","Agent Cody Banks","Burke and Hare","Bur The King's Speech","The Fright Night","The Tempest","Paycheck","From Dusk till Dawn 2: Texas Blood Money","From Dusk till Dawn 3: The Hangman's Daughter","","","","","","","","","","","","","","","","","","","","","",""
"TNT","Disturbia","Cellular","Law & Order","Angel","Smallville","Charmed","Supernatural","Law & Order","The Mentalist","NBA Basketball:Spurs at 76ers","NBA Basketball:Lakers at Bulls","","","","","","","","","","","","","","","","","","","","","","","",""
"TRAVEL","Sturgis: Biker Madness","Sturgis: Metal Mania","Sturgis: Wild and Free","Radical Rides","Paid Programming","Great American Lake Homes","Cabin Fever","Park Secrets new","RV Crazy!","Killer RV Upgrades","Extreme Houseboats","Caribbean Beach Weekend","Mexico Beach Weekend","Hotel Impossible","The Layover With Anthony Bourdain","The Layover With Anthony Bourdain new","","","","","","","","","","","","","","","","","","",""
"truTV","Hardcore Pawn","Storage Hunters","Container Wars","truTV Presents: World's Dumbest...","Paid Programming","All Worked Up","Lizard Lick Towing","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVG","Paid Programming","Morning Line","Starting Gate","Racing Coast to Coast","Trackside Live!","Race Night","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVLAND","The King of Queens","Hot in Cleveland","That '70s Show","Roseanne","Ros Roseanne","Home Improvement","Paid Programming","The Andy Griffith Show","The Andy Griffith","The Andy Griffith Show","The Soul Man","The Cosby Show","Everybody Loves Raymond","","","","","","","","","","","","","","","","","","","","","",""
"USA","The Ugly Truth","3:10 to Yuma","Cheers","Law & Order: Criminal Intent","NCIS","WWE Monday Night Raw new","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VH1","Mob Wives","Black Ink Crew","Love & Hip Hop","Mob Wives","Saturday Night Live","Best Week Ever","Jump Start","Best Week Ever","Big Morning Buzz Live new","Mob Wives","Making Mr. Right","Best Week Ever","The Greatest","Romeo Must Die","Black Ink Crew","Love & Hip Hop","Love & Hip Hop new","Black Ink Crew new","","","","","","","","","","","","","","","","",""
"NBCSP","NHL Hockey:Blackhawks at","NHL Live","U.S. Ski Team 36","Dakar Rally","Dakar Rally new","CNBC Sports Biz: Game On!","Paid Programming","The 'Lights new","The 'Lights","The Dan Patrick Show","The Box Score new","Bill Dance Outdoors new","Seasons on the Fly","American Hero Experience new","Babe Winkelman's Outdoor Secrets","Jimmy Houston Outdoors new","Hank Parker's Outdoor Magazine new","The Whistle","The Dan Patrick Show","Pro Football Talk new","NBC SportsTalk new","NHL Live","NHL Hockey:Red Wings at Blue Jackets","","","","","","","","","","","",""
"WE","Tamar & Vince","Paid Programming","Mary Mary","Charmed","Roseanne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGNAME","Rules of Engagement","Scrubs","It's Always Sunny in Philadelphia","'Til Death","Cheers","Paid Programming","Joyce Meyer Ministries: Enjoying Everyday Life","Joseph Prince","Creflo Dollar","Paid Programming","Matlock","In the Heat of the Night","WGN Midday News new","Walker, Texas Ranger","Law & Order: Criminal Intent","The New Adventures of Old Christine","America's Funniest Home Videos","","","","","","","","","","","","","","","","","",""
